seed,method,epoch,pearson,spearman,kendall,jaccard_top30pct
13,lava,0,0.04626931337633107,0.12431054963445383,0.08876020659832501,0.2125984251968504
13,lava,1,0.047222212604961906,0.12225277009615396,0.08833397191751415,0.2125984251968504
13,lava,2,0.042129176188402076,0.11599199401609267,0.08349035656901473,0.203125
13,lava,3,0.038668219957187194,0.11405145415551131,0.0818652532630933,0.203125
13,lava,4,0.03888457200640089,0.12068481787251599,0.08667412185639907,0.203125
13,lava,5,0.036058103726219336,0.11986834084393447,0.08673539730486594,0.203125
13,lava,6,0.030907638454327178,0.11429961089494162,0.08259803921568629,0.18461538461538463
13,lava,7,0.03019729064031238,0.11615572785534445,0.08345588235294119,0.1937984496124031
13,lava,8,0.02958580518304201,0.1146629663538567,0.08284313725490197,0.1937984496124031
13,lava,9,0.029414551918747252,0.11801112954909589,0.08609068627450982,0.203125
13,lava,10,0.03012296755436007,0.11915555619134811,0.08596813725490197,0.203125
13,lava,11,0.027624274908012548,0.11829723620965894,0.08498774509803923,0.203125
13,lava,12,0.02666574209384535,0.11836304074158843,0.08566176470588237,0.203125
13,lava,13,0.029460013522535976,0.12468494733580313,0.09084085235214677,0.2125984251968504
13,lava,14,0.030627686617165813,0.12700274662394137,0.09111519607843138,0.2222222222222222
13,lava,15,0.03414694154242989,0.1334880693522545,0.09620098039215687,0.2222222222222222
13,lava,16,0.0429398718686882,0.1451733806363012,0.1036764705882353,0.2222222222222222
13,lava,17,0.046883589310060654,0.15214868822755168,0.11038772041308087,0.232
13,lava,18,0.04116843061967516,0.15342255092698556,0.11213235294117647,0.24193548387096775
13,lava,19,0.03957119391086425,0.1641765850308995,0.12181372549019609,0.24193548387096775
13,lava,20,0.04198676616095468,0.1713163767452506,0.1258578431372549,0.25203252032520324
13,lava,-1,0.03590932199037605,0.12915212291142136,0.09295343137254902,0.2222222222222222
13,icml,0,0.8786990236881551,0.8856153898287081,0.6914839843692085,0.7111111111111111
13,icml,1,0.8804202421400024,0.8977305462946931,0.7061509021099371,0.7111111111111111
13,icml,2,0.8695101536895719,0.8933406314414435,0.699388759413174,0.75
13,icml,3,0.8675397848570278,0.893531090327896,0.6989797484821147,0.75
13,icml,4,0.8514033054820905,0.872341867479319,0.6755311816230976,0.6923076923076923
13,icml,5,0.8304514387984299,0.8511588841766852,0.6531656429326871,0.6923076923076923
13,icml,6,0.8004079267252439,0.8189381151293201,0.6201593137254903,0.6210526315789474
13,icml,7,0.7878357983441078,0.8037966353856717,0.6035539215686275,0.5714285714285714
13,icml,8,0.7814163052268117,0.7931491760128175,0.5946078431372549,0.5714285714285714
13,icml,9,0.7601723589251459,0.7600738155184251,0.5664215686274511,0.54
13,icml,10,0.759452165930395,0.7551656557564659,0.5619485294117648,0.5098039215686274
13,icml,11,0.751431979240587,0.7362919146257725,0.5450367647058824,0.4807692307692308
13,icml,12,0.7370053093332664,0.7196004520485236,0.532107843137255,0.4666666666666667
13,icml,13,0.7258516328400806,0.6948813184655707,0.5124159378042681,0.4528301886792453
13,icml,14,0.7254633734082231,0.6831712062256808,0.5026348039215687,0.4666666666666667
13,icml,15,0.7109166711884531,0.6521593900205996,0.4798406862745099,0.4528301886792453
13,icml,16,0.7205437387186742,0.6462813286793315,0.47457107843137264,0.42592592592592593
13,icml,17,0.7260342611475857,0.6356264726672525,0.46725593228417894,0.38738738738738737
13,icml,18,0.7415927665905847,0.6385342755779354,0.46819852941176476,0.4
13,icml,19,0.7598478617385236,0.650665197985809,0.47843137254901963,0.375
13,icml,20,0.7544826413443699,0.6450281815060653,0.4729779411764707,0.375
13,icml,-1,0.8710850925779527,0.8524912737468527,0.663357843137255,0.6210526315789474
13,loo,0,1.0,1.0,1.0,1.0
13,loo,1,0.9999999999999998,1.0,1.0,1.0
13,loo,2,0.9999999999999998,1.0,1.0,1.0
13,loo,3,1.0,1.0,1.0,1.0
13,loo,4,0.9999999999999998,1.0,0.9999999999999999,1.0
